Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Weteringschans 102 B,            1017 XS Amsterdam (De Weteringschans)        ,"                €2,300 per month            ",80 m²,3 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Tweede Hugo de Grootstraat,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,675 per month            ",50 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Tweede Hugo de Grootstraat,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",52 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Oudezijds Achterburgwal,            1012 DX Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,800 per month            ",106 m²,4 rooms,AirDia Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/airdia-real-estate
Apartment Cabotstraat 20 2,            1057 VR Amsterdam (Hoofdweg e.o.)        ,"                €2,100 per month            ",91 m²,3 rooms,Amstel Property Agency ,https://www.pararius.com/real-estate-agents/amsterdam/amstel-property-agency
Apartment Keizersgracht 692 D,            1017 EV Amsterdam (Grachtengordel-Zuid)        ,"                €3,000 per month            ",105 m²,4 rooms,Hoen Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/hoen-makelaars
Apartment Bloemgracht,            1015 TP Amsterdam (Jordaan)        ,"                €2,750 per month            ",80 m²,3 rooms,Clairesrealestate ,https://www.pararius.com/real-estate-agents/amsterdam/clairesrealestate
House Utrechtsedwarsstraat 112,            1017 WJ Amsterdam (De Weteringschans)        ,"                €4,900 per month            ",197 m²,6 rooms,JLG Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/jlg-real-estate
Apartment Mensinge 70,            1083 HG Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",108 m²,3 rooms,A1 Executive Estate ,https://www.pararius.com/real-estate-agents/amsterdam/a1-executive-estate
Apartment Schierstins,            1082 TC Amsterdam (Buitenveldert-West)        ,"                €2,100 per month            ",68 m²,3 rooms,ME Makelaars BV ,https://www.pararius.com/real-estate-agents/amsterdam/me-makelaars-bv
House A. Reitsmakade,            1060 RJ Amsterdam (Middelveldsche Akerpolder)        ,"                €3,600 per month            ",140 m²,5 rooms,Amsterdam Property Renting ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-property-renting
Apartment Prinsenstraat 12 A,            1015 DC Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",90 m²,3 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Derde Kostverlorenkade 23 III+IV,            1054 TP Amsterdam (Overtoomse Sluis)        ,"                €2,500 per month            ",112 m²,3 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Leidsekade,            1017 PM Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",66 m²,2 rooms,Compass Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/compass-housing-amsterdam
Apartment Leidsekade,            1017 PM Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",80 m²,2 rooms,Compass Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/compass-housing-amsterdam
Apartment Eerste Jan Steenstraat,            1072 NN Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",55 m²,3 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Looiersgracht 26,            1016 VS Amsterdam (Jordaan)        ,"                €2,400 per month            ",100 m²,3 rooms,Amsterdam Wonen ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-wonen-2
Apartment Eerste Jan van der Heijdenstraat,            1072 TR Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",84 m²,3 rooms,Valerius Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/valerius-rentals
Apartment Lambertus Zijlplein,            1067 JS Amsterdam (Geuzenveld)        ,"                €2,000 per month            ",80 m²,3 rooms,Imperio Vastgoed ,https://www.pararius.com/real-estate-agents/koog-aan-de-zaan/imperio-vastgoed
Apartment Van Tuyll van Serooskerkenweg,            1076 JD Amsterdam (Stadionbuurt)        ,"                €2,500 per month            ",70 m²,4 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
House Nieuwendammerdijk,            1023 BN Amsterdam (Nieuwendammerdijk/Buiksloterdijk)        ,"                €4,000 per month            ",160 m²,5 rooms,Nieuw Amsterdams Huys ,https://www.pararius.com/real-estate-agents/amsterdam/nieuw-amsterdams-huys
Apartment Barentszplein,            1013 NJ Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,950 per month            ",60 m²,2 rooms,Keizerskroon makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/keizerskroon-makelaars-2
Apartment Jan den Haenstraat,            1055 WB Amsterdam (Landlust)        ,"                €2,500 per month            ",90 m²,3 rooms,Interhouse verhuurmakelaars Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/interhouse-verhuurmakelaars-amsterdam
Studio Bos en Lommerplantsoen 27 C,            1055 AA Amsterdam (De Kolenkit)        ,"                €1,447 per month            ",30 m²,1 room,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Van Woustraat,            1074 AG Amsterdam (Nieuwe Pijp)        ,"                €1,250 per month            ",37 m²,2 rooms,RE/MAX Pro ,https://www.pararius.com/real-estate-agents/amsterdam/re-max-pro
Apartment Rijnsburgstraat,            1059 AX Amsterdam (Hoofddorppleinbuurt)        ,"                €1,795 per month            ",59 m²,3 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Revaleiland 49,            1014 ZG Amsterdam (Houthavens)        ,"                €2,250 per month            ",81 m²,3 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Van Eeghenstraat 103 2,            1071 EZ Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",204 m²,6 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Nieuwezijds Voorburgwal 118 E,            1012 SH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,000 per month            ",95 m²,3 rooms,FRIS Vastgoed Management ,https://www.pararius.com/real-estate-agents/amsterdam/fris-vastgoed-management-amsterdam
Apartment Marnixstraat 341,            1016 TD Amsterdam (Jordaan)        ,"                €2,350 per month            ",80 m²,3 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
House Bongart,            1082 BB Amsterdam (Buitenveldert-West)        ,"                €2,450 per month            ",110 m²,4 rooms,Rotsvast Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/rotsvast-amsterdam
Studio Leidsestraat,            1017 NV Amsterdam (Grachtengordel-Zuid)        ,"                €1,350 per month            ",33 m²,1 room,Hofzicht Makelaars ,https://www.pararius.com/real-estate-agents/hillegom/hofzicht-makelaars
Apartment Leidsekade,            1016 CW Amsterdam (Jordaan)        ,"                €3,000 per month            ",130 m²,3 rooms,NOORESTATE ,https://www.pararius.com/real-estate-agents/amsterdam/noorestate-amsterdam
Apartment IJdok 91 *,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",130 m²,3 rooms,A1 Executive Estate ,https://www.pararius.com/real-estate-agents/amsterdam/a1-executive-estate
Apartment Pieter de Hoochstraat 34 hs,            1071 EG Amsterdam (Museumkwartier)        ,"                €8,500 per month            ",175 m²,5 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Jacques Veltmanstraat,            1065 EG Amsterdam (Slotervaart Zuid)        ,"                €2,500 per month            ",128 m²,4 rooms,BenS Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/bens-makelaars
Apartment Rinus Michelslaan,            1061 MB Amsterdam (De Kolenkit)        ,"                €2,300 per month            ",61 m²,3 rooms,Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-rentals
Apartment Overtoom 552 3,            1054 LM Amsterdam (Overtoomse Sluis)        ,"                €1,895 per month            ",68 m²,4 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Prinsengracht,            1017 KG Amsterdam (De Weteringschans)        ,"                €2,375 per month            ",95 m²,3 rooms,Inxxx Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/inxxx-rentals
Apartment Van Ostadestraat,            1074 VW Amsterdam (Nieuwe Pijp)        ,"                €2,000 per month            ",43 m²,3 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
House Den Texstraat,            1017 ZC Amsterdam (De Weteringschans)        ,"                €3,000 per month            ",125 m²,4 rooms,123Wonen Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/123wonen-amsterdam
Apartment Osdorper Ban,            1069 GA Amsterdam (Osdorp-Midden)        ,"                €2,150 per month            ",120 m²,4 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Prinsengracht,            1017 KP Amsterdam (Grachtengordel-Zuid)        ,"                €2,150 per month            ",100 m²,2 rooms,Interhouse verhuurmakelaars Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/interhouse-verhuurmakelaars-amsterdam
Apartment Dirk Schäferstraat 33 1,            1076 BB Amsterdam (Prinses Irenebuurt e.o.)        ,"                €2,250 per month            ",95 m²,3 rooms,Prinsen Residence International ,https://www.pararius.com/real-estate-agents/amsterdam/prinsen-residence-international
Apartment Pieter Oosterhuisstraat,            1087 HT Amsterdam (IJburg Zuid)        ,"                €2,350 per month            ",112 m²,3 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Van Breestraat,            1071 ZW Amsterdam (Museumkwartier)        ,"                €1,950 per month            ",68 m²,2 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Marco Polostraat,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²,2 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Van Tuyll van Serooskerkenweg 146 2,            1076 JT Amsterdam (Stadionbuurt)        ,"                €2,490 per month            ",85 m²,4 rooms,Huizenbalie.nl ,https://www.pararius.com/real-estate-agents/tilburg/huizenbalie-nl
Apartment Koningslaan 39 E,            1075 AB Amsterdam (Willemspark)        ,"                €4,350 per month            ",103 m²,3 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Ferdinand Bolstraat 136 A,            1072 LR Amsterdam (Oude Pijp)        ,"                €3,250 per month            ",68 m²,3 rooms,Mid-stay Apartments ,https://www.pararius.com/real-estate-agents/amsterdam/mid-stay-apartments
Apartment De Wittenkade,            1052 AC Amsterdam (Staatsliedenbuurt)        ,"                €2,750 per month            ",130 m²,5 rooms,Expats. Amsterdam Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expats-amsterdam-rentals-2
Apartment Rietwijkerstraat,            1059 VV Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",113 m²,6 rooms,Rebid ,https://www.pararius.com/real-estate-agents/amsterdam/rebid
Apartment Evertsweertplantsoen 22,            1069 RL Amsterdam (Osdorp-Midden)        ,"                €1,995 per month            ",60 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
House Domela Nieuwenhuisstraat,            1069 SH Amsterdam (Osdorp-Midden)        ,"                €2,950 per month            ",144 m²,5 rooms,RE/MAX Pro ,https://www.pararius.com/real-estate-agents/amsterdam/re-max-pro
Apartment Termini 365,            1025 XM Amsterdam (Buikslotermeer)        ,"                €1,520 per month            ",78 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Termini 345,            1025 XM Amsterdam (Buikslotermeer)        ,"                €1,520 per month            ",76 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Recht Boomssloot 30 sous,            1011 EB Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",52 m²,2 rooms,BrinkBorgh Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/brinkborgh-makelaardij
Apartment Stadionkade,            1076 BK Amsterdam (Stadionbuurt)        ,"                €2,350 per month            ",100 m²,3 rooms,City Homes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-city-homes
Apartment Bos en Lommerweg,            1055 EA Amsterdam (Erasmuspark)        ,"                €1,800 per month            ",80 m²,3 rooms,123Wonen Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/123wonen-amsterdam
Apartment Tweede Atjehstraat,            1094 LJ Amsterdam (Indische Buurt West)        ,"                €2,450 per month            ",100 m²,5 rooms,Rebid ,https://www.pararius.com/real-estate-agents/amsterdam/rebid
Apartment Haarlemmerweg 267 B,            1051 NW Amsterdam (Centrale Markt)        ,"                €1,995 per month            ",86 m²,3 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam
House Zuideinde,            1035 PM Amsterdam (Oostzanerwerf)        ,"                €3,000 per month            ",200 m²,7 rooms,Out Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/out-amsterdam
Apartment Brouwersgracht 829,            1015 GK Amsterdam (Jordaan)        ,"                €3,450 per month            ",125 m²,4 rooms,AmsterHomes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterhomes
Apartment Mary van der Sluisstraat 306,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,800 per month            ",74 m²,3 rooms,KK Amsterdam ,https://www.pararius.com/real-estate-agents/diemen/kk-amsterdam
